제목,채널명,업로드 날짜,영상 길이,구독자수,조회수 한글표현,조회수,반응도 (조회수/구독자),반응 해석,영상 링크,thumbnail_url
IT Project Management - Information Technology,ProjectManager,2014-04-28T13:00:06Z,6분 12초,"419,000",20만 1천 4백,"201,482",0.48,관심도 낮음,https://www.youtube.com/watch?v=LNpGKYUB0UI,https://img.youtube.com/vi/LNpGKYUB0UI/hqdefault.jpg
Information Systems Technician (IT),GoCoastGuard,2022-01-06T16:29:10Z,54초,"15,200",6천 8백,"6,856",0.45,관심도 낮음,https://www.youtube.com/watch?v=Jar-M2mbXKM,https://img.youtube.com/vi/Jar-M2mbXKM/hqdefault.jpg
"[IT정보] AI (인공지능) ""ChatGPT""와 반도체의 만남",IEG (주)아이지,2023-03-30T08:28:23Z,2분 15초,393,1백,160,0.41,관심도 낮음,https://www.youtube.com/watch?v=-eGu-yhqOIw,https://img.youtube.com/vi/-eGu-yhqOIw/hqdefault.jpg
What is Information Technology? | Introduction to IT Course,Tech Gee,2024-07-02T20:10:07Z,9분 34초,"24,600",9천 7백,"9,725",0.4,관심도 낮음,https://www.youtube.com/watch?v=O2Qh89orXL4,https://img.youtube.com/vi/O2Qh89orXL4/hqdefault.jpg
What is Information Technology? | Introduction to IT Course,Tech Gee,2024-07-02T20:10:07Z,9분 34초,"24,600",9천 7백,"9,725",0.4,관심도 낮음,https://www.youtube.com/watch?v=O2Qh89orXL4,https://img.youtube.com/vi/O2Qh89orXL4/hqdefault.jpg
[한국IT] 차세대 보안전문가! 한국IT 정보보안학과에서 만들어드립니다,한아전 (한국IT전문학교),2021-05-07T06:35:54Z,27초,838,2백,289,0.34,관심도 낮음,https://www.youtube.com/watch?v=gU1S2kQIez4,https://img.youtube.com/vi/gU1S2kQIez4/hqdefault.jpg
LIC's Nav Jeevan Shree plan# details#information#watch it,Amar Jyothi,2025-07-05T06:30:32Z,51초,"1,600",4백,463,0.29,관심도 낮음,https://www.youtube.com/watch?v=dpM3wZS7_l0,https://img.youtube.com/vi/dpM3wZS7_l0/hqdefault.jpg
IT 정보능력 특강(한영대학교 문정례),한영대학교 간호학과,2021-10-27T17:52:56Z,1시간 42분 10초,217,55,55,0.25,관심도 낮음,https://www.youtube.com/watch?v=dfLwL9g3H8c,https://img.youtube.com/vi/dfLwL9g3H8c/hqdefault.jpg
"[IT정보] 인공지능 채팅 서비스, 챗GPT 말고도 더 있었어?",IEG (주)아이지,2023-06-21T06:46:29Z,1분 41초,393,97,97,0.25,관심도 낮음,https://www.youtube.com/watch?v=NzCXK512_2E,https://img.youtube.com/vi/NzCXK512_2E/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 우수상,한아전 (한국IT전문학교),2020-11-27T08:34:07Z,2분 20초,838,1백,191,0.23,관심도 낮음,https://www.youtube.com/watch?v=rrKjRldJm94,https://img.youtube.com/vi/rrKjRldJm94/hqdefault.jpg
영진사이버대학교 IT정보학과 소개,영진사이버대학교,2024-11-07T05:00:42Z,8분 29초,"1,360",2백,290,0.21,관심도 낮음,https://www.youtube.com/watch?v=uClclkP9Yro,https://img.youtube.com/vi/uClclkP9Yro/hqdefault.jpg
SNS전문가 천재영 무료잡지 구독 탭진 활용방법 IT정보,NAEIL U,2013-09-20T17:59:57Z,2분 2초,339,63,63,0.19,관심도 낮음,https://www.youtube.com/watch?v=gTZebjOYFeg,https://img.youtube.com/vi/gTZebjOYFeg/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 장려상_안드로이드 스파이 앱,한아전 (한국IT전문학교),2020-11-27T08:33:38Z,2분 32초,838,1백,147,0.18,관심도 낮음,https://www.youtube.com/watch?v=GC-bq6AQ880,https://img.youtube.com/vi/GC-bq6AQ880/hqdefault.jpg
파이코인 } IT 정보 전산 40년 노 하우 선배님이,우승택의 生테크 연구소 ST Life-Design Studio,2023-09-21T04:30:01Z,16분 10초,"42,200",7천 1백,"7,110",0.17,관심도 낮음,https://www.youtube.com/watch?v=s43iiW9QsWo,https://img.youtube.com/vi/s43iiW9QsWo/hqdefault.jpg
Gardening Mistakes to Avoid: Common Pitfalls and How to Fix Them,Green Thumb,2025-07-04T16:01:21Z,53초,"1,190,000",19만 9천 5백,"199,597",0.17,관심도 낮음,https://www.youtube.com/watch?v=fhuoCH9dwd4,https://img.youtube.com/vi/fhuoCH9dwd4/hqdefault.jpg
IT 정보 기술 사업 PPT 템플릿 디자인,티엔티 스피치 콘텐츠 디자인 연구소,2023-11-13T02:00:22Z,13초,"1,340",2백,229,0.17,관심도 낮음,https://www.youtube.com/watch?v=Y3OIogMSO-Y,https://img.youtube.com/vi/Y3OIogMSO-Y/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 우수상 Antidote,한아전 (한국IT전문학교),2020-11-27T08:33:44Z,1분 44초,838,1백,135,0.16,관심도 낮음,https://www.youtube.com/watch?v=xZ6fKimQuW0,https://img.youtube.com/vi/xZ6fKimQuW0/hqdefault.jpg
